Name,Time,Artist,Album,Genre,Plays,Album Artist,Release Date,Track Number,Last Played,Skips,Last Skipped,Date Added,Composer
Celtech,4:49,Andy Hunter & Hydro,Aborigination,Electronic,1,Andy Hunter & Hydro,6/3/1998,2 of 12,4/12/2014 15:38:00,,,11/1/2009 23:28:00,
The Beginning of the End,6:57,Andy Hunter & Hydro,Aborigination,Electronic,1,Andy Hunter & Hydro,6/3/1998,3 of 12,4/12/2014 15:45:00,,,11/1/2009 23:28:00,
Push,4:46,Andy Hunter & Hydro,Aborigination,Electronic,1,Andy Hunter & Hydro,6/3/1998,4 of 12,4/12/2014 15:50:00,,,11/1/2009 23:28:00,
Didgital,5:33,Andy Hunter & Hydro,Aborigination,Electronic,1,Andy Hunter & Hydro,6/3/1998,5 of 12,4/12/2014 15:55:00,,,11/1/2009 23:28:00,
Serengeti Storm,5:53,Andy Hunter & Hydro,Aborigination,Electronic,,Andy Hunter & Hydro,6/3/1998,6 of 12,,,,11/1/2009 23:28:00,
Crystal Throneroom,4:52,Andy Hunter & Hydro,Aborigination,Electronic,1,Andy Hunter & Hydro,6/3/1998,7 of 12,4/12/2014 16:03:00,,,11/1/2009 23:28:00,
Liquid Prayers,5:26,Andy Hunter & Hydro,Aborigination,Electronic,1,Andy Hunter & Hydro,6/3/1998,8 of 12,4/12/2014 16:08:00,,,11/1/2009 23:28:00,
Jiggle,5:41,Andy Hunter & Hydro,Aborigination,Electronic,1,Andy Hunter & Hydro,6/3/1998,9 of 12,4/12/2014 16:14:00,,,11/1/2009 23:28:00,
Serengeti Storm (The Easy Listening Mix),5:34,Andy Hunter & Hydro,Aborigination,Electronic,,Andy Hunter & Hydro,6/3/1998,10 of 12,,,,11/1/2009 23:28:00,
Birth (The Bright and Breezy Stingray Mix),5:55,Andy Hunter & Hydro,Aborigination,Electronic,,Andy Hunter & Hydro,6/3/1998,11 of 12,,,,11/1/2009 23:28:00,
Rawar (The Mad Axeman Mix),6:44,Andy Hunter & Hydro,Aborigination,Electronic,,Andy Hunter & Hydro,6/3/1998,12 of 12,,,,11/1/2009 23:28:00,
Digital Booklet - Burst Apart (Deluxe Version),,The Antlers,Burst Apart (Deluxe Version),Alternative,,The Antlers,,,,,,17/04/2015 9:36 PM,
"Givin' It, Takin' It",4:11,April Wine,Attitude,Blues,,,,1 of 14,,,,7/10/2013 15:44:00,
Good From Far (Far From Good),3:39,April Wine,Attitude,Blues,,,,2 of 14,,,,7/10/2013 15:44:00,
If You Believe In Me,4:17,April Wine,Attitude,Blues,,,,3 of 14,,,,7/10/2013 15:44:00,
That's Love,3:55,April Wine,Attitude,Blues,,,,4 of 14,,,,7/10/2013 15:44:00,
It Hurts,3:57,April Wine,Attitude,Blues,,,,5 of 14,,,,7/10/2013 15:44:00,
Hour Of Need,2:41,April Wine,Attitude,Blues,,,,6 of 14,,,,7/10/2013 15:44:00,
Here's Lookin At You Kid,4:08,April Wine,Attitude,Blues,,,,7 of 14,,,,7/10/2013 15:44:00,
Better Slow Down,4:21,April Wine,Attitude,Blues,,,,8 of 14,,,,7/10/2013 15:44:00,
Strange Kind Of Love,4:03,April Wine,Attitude,Blues,,,,9 of 14,,,,7/10/2013 15:44:00,
Can't Take Another Nite,4:05,April Wine,Attitude,Blues,,,,10 of 14,,,,7/10/2013 15:44:00,
Luv Your Stuff,3:05,April Wine,Attitude,Blues,,,,11 of 14,,,,7/10/2013 15:44:00,
Emotional Dreams,4:11,April Wine,Attitude,Blues,,,,12 of 14,,,,7/10/2013 15:44:00,
Voice In My Heart,4:02,April Wine,Attitude,Blues,,,,13 of 14,,,,7/10/2013 15:44:00,
Girl In My Dreams,4:18,April Wine,Attitude,Blues,,,,14 of 14,,,,7/10/2013 15:44:00,
Bittersweet Symphony vs. Rock The Bells,4:49,The Aranbee Pop Symphony Orchestra vs. LL Cool J,DJ Hero Soundtrack,Game,,,,,,,,7/10/2013 16:13:00,
Black Mirror,4:13,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,1 of 11,1/11/2013 23:46:00,,,30/12/2007 11:23 PM,
Keep the Car Running,3:29,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,2 of 11,2/11/2013 0:15:00,1,25/11/2013 11:27 PM,30/12/2007 11:23 PM,
Neon Bible,2:17,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,3 of 11,1/11/2013 23:48:00,,,30/12/2007 11:23 PM,
Intervention,4:19,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,4 of 11,1/11/2013 23:37:00,,,30/12/2007 11:23 PM,
Black Wave / Bad Vibrations,3:58,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,5 of 11,1/11/2013 23:18:00,,,30/12/2007 11:23 PM,
Ocean of Noise,4:54,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,6 of 11,1/11/2013 23:33:00,,,30/12/2007 11:23 PM,
The Well and the Lighthouse,3:57,Arcade Fire,Neon Bible,Alternative,2,Arcade Fire,6/3/2007,7 of 11,1/11/2013 23:28:00,,,30/12/2007 11:23 PM,
Antichrist Television Blues,5:10,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,8 of 11,1/11/2013 23:10:00,,,30/12/2007 11:23 PM,
Windowsill,4:16,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,9 of 11,1/11/2013 23:14:00,,,30/12/2007 11:23 PM,
No Cars Go,5:44,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,10 of 11,1/11/2013 23:04:00,,,30/12/2007 11:23 PM,
My Body Is a Cage,4:47,Arcade Fire,Neon Bible,Alternative,1,Arcade Fire,6/3/2007,11 of 11,1/11/2013 23:42:00,,,30/12/2007 11:23 PM,
Reflektor,7:34,Arcade Fire,Reflektor,Alternative,3,Arcade Fire,28/10/2013,1 of 7,5/11/2013 20:30:00,2,7/11/2013 13:54:00,31/10/2013 7:30 PM,
We Exist,5:44,Arcade Fire,Reflektor,Alternative,6,Arcade Fire,28/10/2013,2 of 7,28/11/2013 2:16 PM,,,31/10/2013 7:30 PM,
Flashbulb Eyes,2:42,Arcade Fire,Reflektor,Alternative,1,Arcade Fire,28/10/2013,3 of 7,2/11/2013 0:23:00,1,7/11/2013 14:00:00,31/10/2013 7:29 PM,
Here Comes The Night Time,6:31,Arcade Fire,Reflektor,Alternative,5,Arcade Fire,28/10/2013,4 of 7,28/11/2013 2:22 PM,,,31/10/2013 7:30 PM,
